"shapeid","x","y"
"1","-122.262481","38.022703"
"1","-122.262407","38.022632"
"1","-122.262848","38.022154"
"1","-122.263708","38.021226"
"1","-122.264155","38.020751"
"1","-122.264178","38.020728"
"1","-122.264466","38.020449"
"1","-122.264638","38.020269"
"1","-122.265006","38.019871"
"1","-122.266248","38.018566"
"1","-122.266518","38.01831"
"1","-122.26654","38.018297"
"1","-122.266414","38.01825"
"1","-122.266289","38.018204"
"1","-122.266431","38.017966"
"1","-122.266481","38.017891"
"1","-122.26651","38.017849"
"1","-122.266585","38.017757"
"1","-122.267174","38.017083"
"1","-122.267314","38.016906"
"1","-122.267432","38.016736"
"1","-122.267578","38.01648"
"1","-122.267705","38.016262"
"1","-122.267839","38.016074"
"1","-122.267897","38.015976"
"1","-122.268089","38.015525"
"1","-122.268089","38.015213"
"1","-122.267868","38.014978"
"1","-122.267544","38.014752"
"1","-122.267489","38.014725"
"1","-122.267273","38.014651"
"1","-122.266878","38.014531"
"1","-122.266458","38.014389"
"1","-122.265752","38.014136"
"1","-122.265357","38.013985"
"1","-122.265218","38.013918"
"1","-122.265046","38.013867"
"1","-122.264872","38.013811"
"1","-122.264522","38.013713"
"1","-122.264038","38.013589"
"1","-122.263794","38.013534"
"1","-122.26333","38.013442"
"1","-122.263097","38.013403"
"1","-122.262661","38.013342"
"1","-122.262186","38.013291"
"1","-122.261674","38.013252"
"1","-122.261208","38.01323"
"1","-122.260975","38.013226"
"1","-122.260771","38.013228"
"1","-122.260364","38.013241"
"1","-122.259394","38.013291"
"1","-122.259222","38.013307"
"1","-122.258881","38.013351"
"1","-122.258404","38.013432"
"1","-122.257504","38.013614"
"1","-122.256983","38.013728"
"1","-122.256687","38.013779"
"1","-122.256567","38.013704"
"1","-122.256447","38.01363"
"1","-122.256202","38.013477"
"1","-122.25532","38.012928"
"1","-122.254776","38.012534"
"1","-122.254315","38.0122"
"1","-122.254193","38.012227"
"1","-122.253865","38.012317"
"1","-122.253629","38.012383"
"1","-122.253349","38.012496"
"1","-122.2531","38.012612"
"1","-122.252796","38.012802"
"1","-122.252678","38.012883"
"1","-122.252621","38.012923"
"1","-122.252565","38.012964"
"1","-122.252485","38.013028"
"1","-122.252424","38.013077"
"1","-122.25227","38.013226"
"1","-122.252259","38.013216"
"1","-122.252227","38.013186"
"1","-122.252217","38.013176"
"1","-122.252162","38.013131"
"1","-122.251182","38.012234"
"1","-122.248247","38.009549"
"1","-122.23929","38.008303"
"1","-122.236737","38.005415"
"1","-122.236491","38.00513"
"1","-122.236379","38.005"
"1","-122.236245","38.004845"
"1","-122.235756","38.004278"
"1","-122.235648","38.004152"
"1","-122.235307","38.003758"
"1","-122.235267","38.003711"
"1","-122.235228","38.003666"
"1","-122.235189","38.003621"
"1","-122.23507","38.003483"
"1","-122.23495","38.003344"
"1","-122.234879","38.003261"
"1","-122.234666","38.003014"
"1","-122.234595","38.002932"
"1","-122.234502","38.002824"
"1","-122.234409","38.002716"
"1","-122.233674","38.001865"
"1","-122.233136","38.001242"
"1","-122.231864","37.999767"
"1","-122.230929","37.998684"
"1","-122.230913","37.998666"
"1","-122.229994","37.9976"
"1","-122.230102","37.997226"
"1","-122.23035","37.996379"
"1","-122.23043","37.996106"
"1","-122.23054","37.995733"
"1","-122.230615","37.995475"
"1","-122.230695","37.995202"
"1","-122.230192","37.995061"
"1","-122.229934","37.994989"
"1","-122.228908","37.994701"
"1","-122.228806","37.994673"
"1","-122.22768","37.994643"
"1","-122.227524","37.994509"
"1","-122.227498","37.994487"
"1","-122.227351","37.994361"
"1","-122.226848","37.993928"
"1","-122.227201","37.993136"
"1","-122.227485","37.992502"
